dimension,baseline,complete_pairs,nonzero_pairs,wilcoxon_statistic,wilcoxon_exact_two_sided_p,paired_mean_difference,bootstrap_95_low,bootstrap_95_high,bootstrap_resamples,bootstrap_seed,holm_adjusted_p_within_dimension
content_score,global_canny_0p4,32,29,7.0,5.21540641784668e-08,1.375,1.09375,1.65625,20000,20260821,5.21540641784668e-08
content_score,prompt_adaptive,32,31,0.0,9.313225746154785e-10,2.1875,1.75,2.625,20000,20260821,3.725290298461914e-09
content_score,prompt_generic,32,28,0.0,7.450580596923828e-09,2.0,1.53125,2.46875,20000,20260821,1.4901161193847656e-08
content_score,region_canny,32,29,0.0,3.725290298461914e-09,1.71875,1.375,2.09375,20000,20260821,1.1175870895385742e-08
style_removal_score,global_canny_0p4,32,32,6.0,5.587935447692871e-09,1.625,1.375,1.84375,20000,20260821,1.6763806343078613e-08
style_removal_score,prompt_adaptive,32,31,6.0,1.1175870895385742e-08,1.75,1.40625,2.0625,20000,20260821,2.2351741790771484e-08
style_removal_score,prompt_generic,32,27,0.0,1.4901161193847656e-08,1.46875,1.125,1.8125,20000,20260821,2.2351741790771484e-08
style_removal_score,region_canny,32,30,0.0,1.862645149230957e-09,1.65625,1.40625,1.875,20000,20260821,7.450580596923828e-09
identity_score,global_canny_0p4,32,27,15.0,1.5795230865478516e-06,1.28125,0.90625,1.65625,20000,20260821,1.5795230865478516e-06
identity_score,prompt_adaptive,29,27,3.5,1.043081283569336e-07,2.206896551724138,1.7241379310344827,2.689655172413793,20000,20260821,3.129243850708008e-07
identity_score,prompt_generic,27,25,0.0,5.960464477539063e-08,1.8518518518518519,1.4814814814814814,2.2222222222222223,20000,20260821,2.384185791015625e-07
identity_score,region_canny,30,24,0.0,1.1920928955078125e-07,1.3666666666666667,1.0333333333333334,1.7,20000,20260821,3.129243850708008e-07
