method,style_category,passed,total,pass_rate,wilson_95_low,wilson_95_high
flux_kontext_native1024,3d_cartoon,4,8,0.5,0.21521606221387757,0.7847839377861224
flux_kontext_native1024,comic,6,8,0.75,0.40927543031016883,0.9285207872478909
flux_kontext_native1024,ink,6,8,0.75,0.40927543031016883,0.9285207872478909
flux_kontext_native1024,watercolor,6,8,0.75,0.40927543031016883,0.9285207872478909
global_canny_0p4,3d_cartoon,0,8,0.0,0.0,0.32440756488388023
global_canny_0p4,comic,0,8,0.0,0.0,0.32440756488388023
global_canny_0p4,ink,0,8,0.0,0.0,0.32440756488388023
global_canny_0p4,watercolor,0,8,0.0,0.0,0.32440756488388023
prompt_adaptive,3d_cartoon,0,8,0.0,0.0,0.32440756488388023
prompt_adaptive,comic,0,8,0.0,0.0,0.32440756488388023
prompt_adaptive,ink,0,8,0.0,0.0,0.32440756488388023
prompt_adaptive,watercolor,0,8,0.0,0.0,0.32440756488388023
prompt_generic,3d_cartoon,1,8,0.125,0.02241749145005667,0.4708881822128535
prompt_generic,comic,0,8,0.0,0.0,0.32440756488388023
prompt_generic,ink,0,8,0.0,0.0,0.32440756488388023
prompt_generic,watercolor,0,8,0.0,0.0,0.32440756488388023
region_canny,3d_cartoon,1,8,0.125,0.02241749145005667,0.4708881822128535
region_canny,comic,0,8,0.0,0.0,0.32440756488388023
region_canny,ink,0,8,0.0,0.0,0.32440756488388023
region_canny,watercolor,0,8,0.0,0.0,0.32440756488388023
