method,style_category,dimension,count,mean,median,std,min,max
flux_kontext_native1024,3d_cartoon,content_score,8,4.25,4.0,0.7071067811865476,3,5
flux_kontext_native1024,3d_cartoon,identity_score,8,4.0,4.0,0.7559289460184544,3,5
flux_kontext_native1024,3d_cartoon,style_removal_score,8,3.375,3.5,0.744023809142845,2,4
flux_kontext_native1024,ALL,content_score,32,4.46875,5.0,0.6213603702179753,3,5
flux_kontext_native1024,ALL,identity_score,32,4.1875,4.0,0.737804065256947,3,5
flux_kontext_native1024,ALL,style_removal_score,32,3.78125,4.0,0.49084357931507944,2,4
flux_kontext_native1024,comic,content_score,8,4.625,5.0,0.5175491695067657,4,5
flux_kontext_native1024,comic,identity_score,8,4.375,4.0,0.5175491695067655,4,5
flux_kontext_native1024,comic,style_removal_score,8,3.75,4.0,0.46291004988627565,3,4
flux_kontext_native1024,ink,content_score,8,4.625,5.0,0.5175491695067657,4,5
flux_kontext_native1024,ink,identity_score,8,4.25,4.5,0.8864052604279183,3,5
flux_kontext_native1024,ink,style_removal_score,8,4.0,4.0,0.0,4,4
flux_kontext_native1024,watercolor,content_score,8,4.375,4.5,0.7440238091428448,3,5
flux_kontext_native1024,watercolor,identity_score,8,4.125,4.0,0.8345229603962802,3,5
flux_kontext_native1024,watercolor,style_removal_score,8,4.0,4.0,0.0,4,4
global_canny_0p4,3d_cartoon,content_score,8,3.125,3.0,0.3535533905932739,3,4
global_canny_0p4,3d_cartoon,identity_score,8,3.25,3.0,0.46291004988627565,3,4
global_canny_0p4,3d_cartoon,style_removal_score,8,2.5,2.5,0.5345224838248488,2,3
global_canny_0p4,ALL,content_score,32,3.09375,3.0,0.46554685152811615,2,4
global_canny_0p4,ALL,identity_score,32,2.90625,3.0,0.640532792341279,1,4
global_canny_0p4,ALL,style_removal_score,32,2.15625,2.0,0.44788931524393105,1,3
global_canny_0p4,comic,content_score,8,3.125,3.0,0.35355339059327384,3,4
global_canny_0p4,comic,identity_score,8,2.875,3.0,0.3535533905932738,2,3
global_canny_0p4,comic,style_removal_score,8,2.0,2.0,0.5345224838248488,1,3
global_canny_0p4,ink,content_score,8,3.125,3.0,0.8345229603962803,2,4
global_canny_0p4,ink,identity_score,8,2.75,3.0,1.0350983390135313,1,4
global_canny_0p4,ink,style_removal_score,8,2.0,2.0,0.0,2,2
global_canny_0p4,watercolor,content_score,8,3.0,3.0,0.0,3,3
global_canny_0p4,watercolor,identity_score,8,2.75,3.0,0.46291004988627577,2,3
global_canny_0p4,watercolor,style_removal_score,8,2.125,2.0,0.3535533905932738,2,3
prompt_adaptive,3d_cartoon,content_score,8,3.0,3.0,0.0,3,3
prompt_adaptive,3d_cartoon,identity_score,8,2.75,3.0,0.7071067811865476,2,4
prompt_adaptive,3d_cartoon,style_removal_score,8,2.625,3.0,0.5175491695067657,2,3
prompt_adaptive,ALL,content_score,32,2.28125,3.0,0.9240295694193394,1,4
prompt_adaptive,ALL,identity_score,32,1.875,2.0,0.9418581497197698,1,4
prompt_adaptive,ALL,style_removal_score,32,2.03125,2.0,0.6948833738303187,1,3
prompt_adaptive,comic,content_score,8,2.25,2.5,1.164964745021435,1,4
prompt_adaptive,comic,identity_score,8,2.0,2.0,0.9258200997725514,1,3
prompt_adaptive,comic,style_removal_score,8,1.75,2.0,0.7071067811865476,1,3
prompt_adaptive,ink,content_score,8,2.0,2.0,0.9258200997725514,1,3
prompt_adaptive,ink,identity_score,8,1.5,1.0,0.9258200997725514,1,3
prompt_adaptive,ink,style_removal_score,8,1.75,2.0,0.7071067811865476,1,3
prompt_adaptive,watercolor,content_score,8,1.875,2.0,0.8345229603962802,1,3
prompt_adaptive,watercolor,identity_score,8,1.25,1.0,0.4629100498862757,1,2
prompt_adaptive,watercolor,style_removal_score,8,2.0,2.0,0.5345224838248488,1,3
prompt_generic,3d_cartoon,content_score,8,3.625,3.5,0.7440238091428449,3,5
prompt_generic,3d_cartoon,identity_score,8,3.125,3.0,0.6408699444616557,2,4
prompt_generic,3d_cartoon,style_removal_score,8,3.0,3.0,0.7559289460184544,2,4
prompt_generic,ALL,content_score,32,2.46875,3.0,1.135479861613156,1,5
prompt_generic,ALL,identity_score,32,2.03125,2.0,0.9666828882584056,0,4
prompt_generic,ALL,style_removal_score,32,2.3125,2.0,0.8590129369261278,1,4
prompt_generic,comic,content_score,8,2.375,3.0,1.1877349391654208,1,4
prompt_generic,comic,identity_score,8,1.875,2.0,0.8345229603962802,1,3
prompt_generic,comic,style_removal_score,8,1.875,2.0,0.8345229603962802,1,3
prompt_generic,ink,content_score,8,1.75,1.5,0.8864052604279183,1,3
prompt_generic,ink,identity_score,8,1.5,1.5,0.9258200997725514,0,3
prompt_generic,ink,style_removal_score,8,2.25,2.0,0.7071067811865475,1,3
prompt_generic,watercolor,content_score,8,2.125,2.0,0.8345229603962802,1,3
prompt_generic,watercolor,identity_score,8,1.625,2.0,0.5175491695067657,1,2
prompt_generic,watercolor,style_removal_score,8,2.125,2.0,0.8345229603962802,1,3
region_canny,3d_cartoon,content_score,8,3.125,3.0,0.35355339059327384,3,4
region_canny,3d_cartoon,identity_score,8,3.0,3.0,0.5345224838248488,2,4
region_canny,3d_cartoon,style_removal_score,8,2.375,2.0,0.7440238091428449,2,4
region_canny,ALL,content_score,32,2.75,3.0,0.7184212081070996,1,4
region_canny,ALL,identity_score,32,2.75,3.0,0.6221710168382552,1,4
region_canny,ALL,style_removal_score,32,2.125,2.0,0.5535807194106618,1,4
region_canny,comic,content_score,8,2.125,2.5,0.991031208965115,1,3
region_canny,comic,identity_score,8,2.5,3.0,0.7559289460184544,1,3
region_canny,comic,style_removal_score,8,1.875,2.0,0.6408699444616557,1,3
region_canny,ink,content_score,8,2.625,3.0,0.5175491695067657,2,3
region_canny,ink,identity_score,8,2.75,3.0,0.46291004988627565,2,3
region_canny,ink,style_removal_score,8,2.0,2.0,0.0,2,2
region_canny,watercolor,content_score,8,3.125,3.0,0.3535533905932739,3,4
region_canny,watercolor,identity_score,8,2.75,3.0,0.7071067811865476,2,4
region_canny,watercolor,style_removal_score,8,2.25,2.0,0.46291004988627565,2,3
